Players,Positions,Teams,Duracion,D_Total,M/min,D_>21 km/h,D_>21 km/h Rel,Sprint,Max Vel,Player Load,Asimetria,D_85/95%,D_95/100%,Impactos HI,Num Impactos,Saltos,HMLD
ALEX,N/A,CD Leganés,57.44,4990.36,86.91,37.61,62.27,1,25.3,73.96,0.03,21.8,6.89,0,12878,0,597.12
FELIX,CENTRAL,CD Leganés,58.5,5917.55,101.18,116.4,1275.12,0,23.47,97.28,0.02,85.6,13.17,4,15364,0,692.94
JOSUA,CENTRAL,CD Leganés,58.5,5892.4,100.75,109.62,0,0,23.14,101.49,0.02,0,0,8,15475,0,741.39
KENNETH,CENTRAL,CD Leganés,11.27,379.84,33.72,0,0,0,12.94,8.18,0.03,0,0,3,1341,0,4.46
RODRI,CENTRAL,CD Leganés,42.68,1611.07,37.76,0,0,0,17.49,29.71,0.03,0,0,5,4669,0,82.31
SERGIO,CENTRAL,CD Leganés,40.49,3318.43,81.98,34.93,9.17,1,25.26,52.53,0,0,0,1,9583,0,496.44
UNAI,CENTRAL,CD Leganés,43.19,3423.9,79.3,6.87,0,0,21.22,56.61,0.02,0,0,10,9679,0,323.98
DIEGO,DELANTERO,CD Leganés,58.5,6860.2,117.3,134.93,134.32,0,23.4,93.03,0.01,0,0,1,16782,0,1072.61
JOSE ARNAIZ,DELANTERO,CD Leganés,58.5,5376.36,91.93,50.74,0,1,25.57,74.79,0.07,0,0,9,13028,0,453.05
JUAN,DELANTERO,CD Leganés,39.71,2218.68,55.89,0,0,0,20.1,37.31,0.02,0,0,9,5585,0,163.22
MANU,DELANTERO,CD Leganés,58.5,6562.99,112.21,17.32,0,0,23.29,88.38,0,0,0,14,15833,0,806.23
SABIN,DELANTERO,CD Leganés,58.5,6297.13,107.67,95.65,0,0,21.72,85.26,0,0,0,4,13908,0,968.44
AVILES,EXTREMO,CD Leganés,58.5,5629.47,96.25,64.62,0,0,23.82,72.05,0,0,0,3,12150,0,557.7
JONY,LATERAL,CD Leganés,63.78,6493.17,101.82,0,0,0,20.55,86.26,0.04,0,0,4,11137,0,850.63
MARIO,LATERAL,CD Leganés,58.5,5868.71,100.35,129.54,129.54,0,23.38,69.03,0,0,0,0,12422,0,676.11
RUBIO,LATERAL,CD Leganés,42.68,1903.84,44.61,0,0,0,16.59,35.39,0,0,0,0,5587,0,151.01
XAVI,LATERAL,CD Leganés,58.5,5384.23,92.06,101.91,684.67,1,25.05,84.54,0.01,47.83,9.54,5,14817,0,613.61
14,MEDIOCENTRO,CD Leganés,58.5,5999.12,102.58,48.91,175.42,1,24.29,87,0,32.95,9.45,3,16200,0,638.71
ERASO,MEDIOCENTRO,CD Leganés,58.5,6450.99,110.3,205.25,0,1,24.14,93.3,0,0,0,3,16155,0,969.01
FACUNDO,MEDIOCENTRO,CD Leganés,58.5,5504.43,94.11,0,0,0,19.53,83.63,0,0,0,1,13438,0,351.5
PEREA,MEDIOCENTRO,CD Leganés,58.5,6317.42,108.02,193.71,0,1,27.75,83.77,0,0,0,7,14862,0,773.17
